FB	rho	time	Y	U	W	C
1	0.125	0.0	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
1	0.125	9.999999999999999e-5	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
1	0.125	0.0010999999999999998	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
1	0.125	0.011099999999999997	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
1	0.125	0.11109999999999996	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
1	0.125	1.1110999999999995	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
1	0.125	11.111099999999993	0.790879430633238	0.4298433616428695	6.130199215869846	0.19746893274055394	NaN
1	0.125	29.05331715211876	0.7908796460945567	0.4298433262684528	6.130199207560823	0.19746894938413165	NaN
1	0.125	33.27103311504298	0.7908795223723895	0.4298433465797581	6.130199212331214	0.19746893984705785	NaN
1	0.125	37.13971430036832	0.7908794440962279	0.42984335943230606	6.130199215350537	0.1974689337835672	NaN
1	0.125	41.33620743597292	0.790879436000469	0.4298433607615759	6.130199215662804	0.19746893315662703	NaN
1	0.125	45.81277764089928	0.7908794356725126	0.42984336081542013	6.130199215675452	0.1974689331312866	NaN
1	0.125	50.44073695807532	0.7908794380393002	0.4298433604267925	6.130199215584151	0.19746893331481322	NaN
1	0.125	55.072925021688334	0.7908794416527072	0.4298433598334703	6.130199215444761	0.19746893359499368	NaN
1	0.125	59.63987262890613	0.7908794441724538	0.42984335941972734	6.1301992153475595	0.19746893379037214	NaN
1	0.125	64.14492659855458	0.7908794444761211	0.42984335936986506	6.130199215335845	0.19746893381391817	NaN
1	0.125	68.62041509402796	0.7908794435881294	0.4298433595156735	6.130199215370101	0.19746893374506427	NaN
1	0.125	73.09435555426856	0.7908794427009133	0.4298433596613546	6.130199215404326	0.19746893367627055	NaN
1	0.125	77.57937896756528	0.790879442254267	0.42984335973469406	6.130199215421555	0.1974689336416381	NaN
1	0.125	82.07533190223731	0.7908794421962364	0.42984335974422266	6.130199215423794	0.19746893363713833	NaN
1	0.125	91.07819563722136	0.7908794302621575	0.42984336170380033	6.1301992158841605	0.19746893271178267	NaN
1	0.125	109.79996731594511	0.7908794306731681	0.42984336163631337	6.1301992158683065	0.1974689327436519	NaN
1	0.125	150.43770155363066	0.7908794306276202	0.4298433616437909	6.130199215870062	0.19746893274012023	NaN
