mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
1.5736567647427095e-7	1.5426466137030978e-6	5.057978281631911e-7	9.90097151264667	3.68010720737971e-7	1.619778792353986e-6	5.310877182507426e-7	9.90097058333039	3.8641121954502203e-7	1.5426466137030978e-6	5.05797828163191e-7	9.90097151264667	3.68010720737971e-7	1.6197789443882524e-6	5.05797828163191e-7	9.900971512646668	3.68010720737971e-7	0.9999980762285522
1.610311939616417e-7	1.5785794003428447e-6	5.175793724706482e-7	9.900971079715509	3.765827747126094e-7	1.6575082111605803e-6	5.434583397113343e-7	9.900970128752757	3.9541187446380717e-7	1.5785794003428447e-6	5.175793724706482e-7	9.900971079715509	3.765827747126094e-7	1.6575083703599868e-6	5.175793724706482e-7	9.900971079715509	3.765827747126094e-7	0.9999980314182472
1.6478209231955095e-7	1.6153491658513693e-6	5.296353441704579e-7	9.900970636700125	3.8535449667770936e-7	1.6961164574417101e-6	5.561171099309632e-7	9.900969663586697	4.0462218068988637e-7	1.6153491658513693e-6	5.296353441704579e-7	9.900970636700125	3.8535449667770936e-7	1.696116624143938e-6	5.296353441704579e-7	9.900970636700125	3.8535449667770936e-7	0.9999979855641825
1.6862036032395666e-7	1.6529754058176868e-6	5.419721354964193e-7	9.90097018336563	3.9433053746068814e-7	1.735624001549926e-6	5.690707407549795e-7	9.900969187585574	4.1404702158815027e-7	1.6529754058176868e-6	5.419721354964193e-7	9.90097018336563	3.9433053746068814e-7	1.735624176108571e-6	5.419721354964193e-7	9.90097018336563	3.9433053746068814e-7	0.9999979386420473
1.7254803307536066e-7	1.6914780699341983e-6	5.545962875765231e-7	9.90096971947166	4.035156562188824e-7	1.7760517906455861e-6	5.823261003676294e-7	9.900968700497009	4.23691394269722e-7	1.6914780699341983e-6	5.545962875765231e-7	9.90096971947166	4.035156562188824e-7	1.7760519734309083e-6	5.545962875765231e-7	9.90096971947166	4.035156562188824e-7	0.9999978906269582
1.7656719307784424e-7	1.7308775725737636e-6	5.675144939011359e-7	9.90096924477226	4.1291472296278957e-7	1.8174212598027421e-6	5.958902169336459e-7	9.900968202062746	4.3356041224135064e-7	1.7308775725737636e-6	5.675144939011359e-7	9.90096924477226	4.1291472296278957e-7	1.8174214512024516e-6	5.675144939011359e-7	9.90096924477226	4.1291472296278957e-7	0.9999978414934643
1.80679971343241e-7	1.7711948036131561e-6	5.807336038719776e-7	9.900968759015738	4.2253272113808573e-7	1.8597543433737347e-6	6.097702823246763e-7	9.900967692018508	4.4365930811652147e-7	1.7711948036131561e-6	5.807336038719776e-7	9.900968759015738	4.2253272113808573e-7	1.8597545437938142e-6	5.807336038719776e-7	9.900968759015738	4.2253272113808573e-7	0.999997791215499
1.848885485210259e-7	1.8124511395085858e-6	5.942606264337547e-7	9.900968261944545	4.323747502677755e-7	1.9030734866184503e-6	6.239736559324962e-7	9.900967170093871	4.539934363897041e-7	1.8124511395085858e-6	5.942606264337547e-7	9.900968261944545	4.323747502677755e-7	1.903073696484015e-6	5.942606264337547e-7	9.900968261944545	4.323747502677755e-7	0.9999977397664239
1.891951560545261e-7	1.8546684546292105e-6	6.081027337903957e-7	9.900967753295127	4.4244602865588767e-7	1.947401657604471e-6	6.385078685710563e-7	9.900966636012107	4.645682762752228e-7	1.8546684546292105e-6	6.081027337903957e-7	9.900967753295127	4.4244602865588767e-7	1.947401877360671e-6	6.081027337903957e-7	9.900967753295127	4.4244602865588767e-7	0.99999768711895
1.9360207736406014e-7	1.897869132854598e-6	6.222672652078383e-7	9.9009672327978	4.5275189615413757e-7	1.9927623593843625e-6	6.533806264694092e-7	9.90096608949004	4.7538943461224127e-7	1.897869132854598e-6	6.222672652078382e-7	9.9009672327978	4.527518961541375e-7	1.992762589497328e-6	6.222672652078382e-7	9.9009672327978	4.527518961541375e-7	0.9999976332451604
1.9811164905763926e-7	1.9420760794423335e-6	6.367617309054048e-7	9.900966700176589	4.6329781699303484e-7	2.039179642456623e-6	6.685998153576528e-7	9.900965530237906	4.864626488374155e-7	1.9420760794423335e-6	6.367617309054048e-7	9.900966700176589	4.632978169930349e-7	2.0391798834144505e-6	6.367617309054048e-7	9.900966700176589	4.632978169930349e-7	0.9999975781165092
