mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbR_Y0	FbR_Y1	FbD_Y	FbD_U	FbD_W	FbD_C	FbD_Y0	FbD_Y1	NfR_Y	NfR_U	NfR_W	NfR_C	NfR_Y0	NfR_Y1	NfD_Y	NfD_U	NfD_W	NfD_C	NfD_Y0	NfD_Y1	CoRa(mY)
9.92910293405352	1.2334112051847823	5.803293610207302	0.4392935460392059	0.1873419627230034	0.7755389959928333	6.970411605542868	1.2718045153711608	6.248455297932486	0.40929050373495207	0.18793602413698685	0.7391417424157659	7.11629036433286	1.2334112051847823	5.803293610207302	0.4392935460392059	0.1873419627230034	0.7755389959928334	6.970411605542867	1.2950817654440214	5.8032936102073025	0.43929354603920573	0.18734196272300338	0.7755389959928332	6.970411605542868	0.6282639629756673
12.500000000000004	1.4364638804129204	8.19229598298468	0.3152677600524974	0.18979767814834306	0.6250809878723271	7.615766670168382	1.487237875256024	8.799576025480606	0.2941567772624877	0.1902156764353046	0.5994708585368715	7.737707478511759	1.4364638804129206	8.192295982984678	0.31526776005249746	0.18979767814834306	0.6250809878723274	7.61576667016838	1.5082870744335666	8.192295982984678	0.31526776005249746	0.18979767814834306	0.6250809878723274	7.61576667016838	0.7119502511458337
15.736567647427096	1.7038592421248846	11.414695949060764	0.2283191900894206	0.19151926324269136	0.5196020462031089	8.144393892259986	1.7702628557303748	12.221770821702531	0.21356716167314038	0.19181135398373123	0.5017060837337519	8.241451345119973	1.7038592421248846	11.414695949060764	0.2283191900894206	0.19151926324269136	0.5196020462031089	8.144393892259986	1.7890522042311285	11.414695949060764	0.2283191900894206	0.19151926324269136	0.5196020462031089	8.144393892259986	0.7836050905876469
19.81116490576393	2.0517436141998355	15.659353777262814	0.1674773638985129	0.19272393378675753	0.44579368525404756	8.560168542711326	2.137531594301271	16.710716484410735	0.15710764404847147	0.19292925464636435	0.43321398353321255	8.63530342709329	2.0517436141998355	15.659353777262815	0.16747736389851287	0.19272393378675753	0.44579368525404756	8.560168542711326	2.1543307949098276	15.659353777262815	0.16747736389851287	0.19272393378675753	0.44579368525404756	8.560168542711326	0.8395488767302373
24.94077893711099	2.499302558277169	21.155486677181138	0.12451442127557591	0.19357460173518268	0.3936745334291567	8.880292584029975	2.609090157717957	22.506856370604105	0.117126695876912	0.19372087898773416	0.38471234512951263	8.937767953967956	2.499302558277169	21.155486677181134	0.12451442127557595	0.19357460173518268	0.39367453342915676	8.880292584029975	2.6242676861910277	21.155486677181134	0.12451442127557595	0.19357460173518268	0.39367453342915676	8.880292584029975	0.8811170540730732
31.39858039386975	3.0704419919814185	28.193256223734277	0.09372662000385053	0.19418420140749093	0.35632527402393743	9.12483005425729	3.210057641791359	29.915824030073118	0.08837796829887136	0.19429010492095944	0.34983672428196877	9.168692332286176	3.070441991981418	28.19325622373428	0.09372662000385051	0.19418420140749093	0.3563252740239375	9.12483005425729	3.2239640915804895	28.193256223734277	0.09372662000385054	0.19418420140749093	0.35632527402393743	9.124830054257288	0.9114003225106573
39.52847075210475	3.7954533313113554	37.143746284804685	0.07130406560474534	0.19462816886373668	0.3291240525600025	9.311574491428939	3.972299390782503	39.32850104870339	0.06736997466251048	0.1947060640186408	0.32435153302122677	9.34513028842774	3.795453331311355	37.143746284804685	0.07130406560474534	0.19462816886373668	0.3291240525600025	9.311574491428939	3.9852259978769236	37.143746284804685	0.07130406560474534	0.19462816886373668	0.3291240525600025	9.311574491428939	0.9334106747961887
49.76339631918718	4.71279479529508	48.48040064148271	0.054722481890139334	0.19495648487141656	0.30900862222964837	9.454664708534766	4.936259590950478	51.243119180074416	0.05178760890514438	0.19501459547158997	0.3054482727434831	9.480450418577613	4.71279479529508	48.48040064148272	0.05472248189013932	0.19495648487141656	0.30900862222964837	9.454664708534766	4.948434535059834	48.48040064148272	0.05472248189013932	0.19495648487141656	0.30900862222964837	9.454664708534766	0.9495104294066454
62.648404203409065	5.8711929586704015	62.804584035566954	0.04229494311149342	0.19520255062649267	0.2939325417549333	9.564824459068591	6.1531547874964	66.29199463451381	0.04007894767716937	0.19524642742297704	0.2912442761140426	9.584737646240152	5.8711929586704015	62.804584035566954	0.04229494311149343	0.19520255062649267	0.2939325417549333	9.564824459068591	6.164752606603922	62.804584035566954	0.04229494311149343	0.19520255062649267	0.2939325417549333	9.564824459068591	0.9614044494321486
78.86966806002414	7.332245947935466	80.87750314851549	0.032875080007252165	0.19538906428529065	0.28250512907492925	9.65004922256284	7.6877050381744665	85.27505931707445	0.031185082241946206	0.19542252630730514	0.28045496107580614	9.665500154229688	7.332245947935466	80.8775031485155	0.03287508000725216	0.19538906428529065	0.28250512907492925	9.65004922256284	7.698858245332239	80.8775031485155	0.03287508000725216	0.19538906428529065	0.28250512907492925	9.65004922256284	0.9702863547727385
99.29102934053519	9.173698218166132	103.66054729685231	0.02566835915264779	0.19553175764077294	0.27376252078393654	9.716283390207956	9.62157388644145	109.20226360032508	0.024368966148728664	0.19555748567319708	0.2721862027499081	9.72832247119988	9.173698218166132	103.66054729685231	0.02566835915264779	0.19553175764077294	0.27376252078393654	9.716283390207956	9.63238312907444	103.66054729685231	0.02566835915264779	0.19553175764077294	0.27376252078393654	9.716283390207956	0.9769870110243221
125.00000000000003	11.49357289068848	132.36631221268166	0.020113070497489744	0.1956417525739568	0.26702329588050316	9.767963749365517	12.057709512481463	139.34719543531364	0.01910740955295934	0.19566166470008844	0.26580330971911853	9.77737815088243	11.49357289068848	132.36631221268166	0.020113070497489748	0.1956417525739568	0.26702329588050316	9.767963749365517	12.068251535222904	132.36631221268166	0.020113070497489744	0.1956417525739568	0.26702329588050316	9.767963749365517	0.9820882891278346
