eM	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
0.005	0.7905713081862186	0.43227053892287953	6.325202922536297	18.987492195287064	0.7910815579080201	0.45386448157021864	6.027890789057607	18.998927277343938	0.7905713081862187	0.4322705389228795	6.325202922536298	18.987492195287064	0.8300998735955293	0.4322705389228797	6.325202922536295	18.987492195287064	0.013224197760359178
0.005116464961403771	0.7905707546061159	0.4319201222750436	6.325198493452612	18.57154350082264	0.7910809763489783	0.4534965757999329	6.027886357688481	18.58272808072385	0.7905707546061157	0.43192012227504367	6.325198493452611	18.57154350082264	0.8300992923364212	0.4319201222750439	6.325198493452608	18.57154350082264	0.013223482117469447
0.005235642740254498	0.7905702126881868	0.43157708779240395	6.325194157675645	18.164358087272323	0.7910804070414981	0.4531364206102345	6.027882019673921	18.175297442642385	0.7905702126881873	0.43157708779240367	6.325194157675648	18.164358087272323	0.8300987233225966	0.43157708779240367	6.325194157675648	18.164358087272323	0.013222781548890512
0.0053575965261880324	0.7905696822069135	0.43124129272198913	6.325189913401073	17.765766469744488	0.7910798497486662	0.4527838661249826	6.027877773208694	17.77646577613679	0.7905696822069138	0.43124129272198897	6.325189913401076	17.765766469744488	0.8300981663172596	0.4312412927219889	6.3251899134010765	17.765766469744488	0.013222095763210626
0.005482390980715925	0.7905691629402605	0.4309125965151803	6.325185758852436	17.375601781591925	0.791079304237227	0.45243876478233463	6.027873616515435	17.38606611406556	0.7905691629402606	0.43091259651518027	6.325185758852437	17.375601781591925	0.8300976210872737	0.43091259651518027	6.325185758852437	17.375601781591925	0.013221424473502259
0.005610092271509818	0.7905686546696604	0.4305908608187589	6.325181692281019	16.993699763719313	0.7910787702775693	0.45210097132534915	6.027869547844548	17.003934098409466	0.7905686546696608	0.4305908608187587	6.325181692281022	16.993699763719313	0.8300970874031438	0.4305908608187587	6.325181692281022	16.993699763719313	0.013220767397340176
0.005740768107484415	0.7905681571799984	0.4302759494646567	6.325177711965731	16.61989875235437	0.7910782476437075	0.451770342791228	6.027865565474071	16.629907968035322	0.7905681571799986	0.4302759494646566	6.325177711965733	16.61989875235437	0.8300965650389982	0.43027594946465675	6.32517771196573	16.61989875235437	0.0132201242567338
0.005874487774697648	0.7905676702595928	0.4299677284584877	6.32517381621295	16.254039665372748	0.7910777361132637	0.45144673849927813	6.027861667709524	16.263828545012668	0.790567670259593	0.42996772845848763	6.325173816212951	16.254039665372748	0.8300960537725727	0.42996772845848763	6.325173816212951	16.254039665372748	0.01321949477814909
0.006011322173087066	0.7905671937001769	0.4296660659669308	6.325170003356376	15.89596598726368	0.7910772354674462	0.45113002003766783	6.027857852883756	15.905539219570349	0.7905671937001771	0.4296660659669307	6.325170003356377	15.89596598726368	0.8300955533851858	0.4296660659669308	6.325170003356376	15.89596598726368	0.013218878692427934
0.006151343854061909	0.7905667272968755	0.4293708323040392	6.325166271756841	15.5455237528203	0.7910767454910277	0.45082005124905383	6.027854119356776	15.55488593377701	0.7905667272968755	0.4293708323040392	6.325166271756841	15.5455237528203	0.8300950636617193	0.4293708323040392	6.325166271756841	15.5455237528203	0.013218275734827659
0.0062946270589708374	0.7905662708481831	0.42908189991653917	6.325162619802144	15.202561529635465	0.7910762659723194	0.45051669821515034	6.027850465515555	15.211717164026386	0.7905662708481831	0.42908189991653917	6.325162619802144	15.202561529635465	0.8300945843905925	0.429081899916539	6.325162619802145	15.202561529635465	0.01321768564493116
0.006441247758465671	0.7905658241559382	0.42879914336818825	6.3251590459068305	14.866930399481046	0.7910757967031464	0.45021982924030823	6.0278468897738415	14.875883902405372	0.7905658241559383	0.4287991433681883	6.325159045906831	14.866930399481046	0.8300941153637352	0.42879914336818825	6.325159045906831	14.866930399481046	0.013217108166655597
0.006591283692782037	0.7905653870252981	0.42852243932325407	6.325155548512005	14.538483938645626	0.7910753374788196	0.4499293148341713	6.027843390571943	14.547239637019883	0.7905653870252983	0.42852243932325396	6.325155548512007	14.538483938645626	0.8300936563765658	0.4285224393232526	6.3251555485120265	14.538483938645626	0.013216543048192121
0.0067448144129582666	0.7905649592647106	0.4282516665291746	6.325152126085096	14.217078197302767	0.7910748880981072	0.4496450276934741	6.0278399663765105	14.225640331350693	0.7905649592647105	0.42825166652917473	6.325152126085095	14.217078197302767	0.8300932072279457	0.4282516665291749	6.325152126085093	14.217078197302767	0.013215990041997165
0.006901921323014423	0.7905645406858861	0.42798670579845877	6.3251487771196375	13.902571677979086	0.7910744483632044	0.4493668426830404	6.02783661568031	13.910944402708543	0.790564540685886	0.4279867057984589	6.325148777119637	13.902571677979086	0.8300927677201804	0.4279867057984589	6.325148777119637	13.902571677979086	0.013215448904723865
0.00706268772311377	0.7905641311037679	0.4277274399898838	6.325145500135026	13.594825313188853	0.7910740180797026	0.44909463681604445	6.027833337001985	13.603012699855276	0.7905641311037678	0.42772743998988383	6.325145500135025	13.594825313188853	0.8300923376589553	0.4277274399898842	6.325145500135019	13.594825313188853	0.013214919397209405
0.007227198853729636	0.7905637303365004	0.4274737539890417	6.325142293676272	13.29370244229883	0.7910735970565564	0.4488282892335891	6.027830128885806	13.30170847985473	0.7905637303365003	0.42747375398904175	6.325142293676271	13.29370244229883	0.8300919168533252	0.42747375398904186	6.3251422936762705	13.29370244229883	0.013214401284431819
