Run	Iteration	mU	mW	eP	|CoRa<=0.1|	min(CoRa)
1.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
1.0	1000.0	0.10806637602864186	54.752124676992345	0.18820949492904834	0.3627287853577371	0.0062551027694048855
2.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
2.0	1000.0	543.2739315873815	2.1820044395198486	3.442021145936928	0.5091514143094842	0.007319085427855036
3.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
3.0	1000.0	1.3521419598287736	128.99765194196698	0.9364677408864611	0.5457570715474209	0.0018350628581612922
4.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
4.0	1000.0	32.42387559905995	0.004125947575496149	0.0032051796129338077	0.0	0.5009486177271232
5.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
5.0	1000.0	17.12830056224539	49.060899760404084	0.047656753887034095	0.4242928452579035	0.01304187505308057
6.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
6.0	1000.0	335.40514858485557	606.288438637652	0.038998584807816566	0.5906821963394343	0.004138208511706713
7.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
7.0	1000.0	32.46973532318188	69.20298584280583	64.5782084754286	0.7753743760399334	0.0003021642957690691
8.0	0.0	0.125	0.1	0.0375	0.0	0.24311779864888033
