mY	FbR_Y	FbR_A	FbR_B	FbR_C	FbR_U	FbR_Us	FbD_Y	FbD_A	FbD_B	FbD_C	FbD_U	FbD_Us	NfR_Y	NfR_A	NfR_B	NfR_C	NfR_U	NfR_Us	NfD_Y	NfD_A	NfD_B	NfD_C	NfD_U	NfD_Us	CoRa(mY)
0.001	0.8585520020570973	0.012236566981155059	0.001897614655660073	3.3677634330188444	94.44072022628069	5.559279773719306	0.8976109284760105	0.011407912788441976	0.001992171187661926	3.3685920872115567	94.03543060224871	5.964569397751291	0.8585520020570973	0.012236566981155059	0.001897614655660073	3.3677634330188444	94.44072022628069	5.559279773719306	0.9014796021599522	0.012236566981155059	0.001897614655660073	3.3677634330188444	94.44072022628069	5.559279773719306	0.9118530139809977
0.0012589254117941675	1.0572465788436163	0.008933901482551763	0.0023872719810473257	3.371066098517448	92.37808895052488	7.621911049475113	1.1042432789962133	0.008397544480828165	0.0025063091210423428	3.3716024555191715	91.88997866307959	8.110021336920402	1.0572465788436163	0.008933901482551763	0.002387271981047326	3.371066098517448	92.37808895052488	7.621911049475113	1.1101089077857969	0.008933901482551762	0.002387271981047326	3.371066098517448	92.37808895052488	7.621911049475114	0.8914158061304542
0.001584893192461114	1.2953556234134813	0.006749345058536962	0.0030037022687998956	3.3732506549414625	89.90455587371005	10.09544412628994	1.3513251620572262	0.006382410351920694	0.003153558507383771	3.3736175896480796	89.3229894627603	10.677010537239688	1.2953556234134813	0.006749345058536964	0.0030037022687998956	3.373250654941462	89.90455587371005	10.09544412628994	1.3601234045841553	0.006749345058536964	0.0030037022687998956	3.3732506549414625	89.90455587371005	10.09544412628994	0.8669870887241226
0.001995262314968879	1.5775615377092735	0.005232410399999655	0.0037797283191096567	3.3747675896000007	86.97190732574266	13.028092674257335	1.643406019339681	0.004971665843670787	0.003968382708601429	3.3750283341563287	86.28757411573226	13.712425884267747	1.5775615377092735	0.005232410399999655	0.0037797283191096567	3.3747675896000007	86.97190732574266	13.028092674257337	1.6564396145947373	0.005232410399999655	0.0037797283191096567	3.3747675896000007	86.97190732574266	13.028092674257337	0.8380911527185657
0.0025118864315095794	1.9076804079661223	0.004142976696706994	0.0047566684751659686	3.3758570233032925	83.54073744893078	16.459262551069212	1.984034813783252	0.003952616780462881	0.004994165304762538	3.376047383219536	82.74707948517847	17.252920514821525	1.9076804079661223	0.004142976696706994	0.0047566684751659686	3.3758570233032925	83.54073744893078	16.459262551069212	2.003064428364428	0.004142976696706994	0.0047566684751659686	3.3758570233032925	83.54073744893078	16.459262551069212	0.8043526541943969
0.0031622776601683794	2.2879832014392605	0.003341428200201976	0.0059865354394433475	3.3766585717997977	79.58761981227093	20.41238018772907	2.375059867684862	0.0031996827738409177	0.00628551866341203	3.376800317226159	78.682463211967	21.317536788032992	2.287983201439261	0.0033414282002019765	0.005986535439443347	3.3766585717997977	79.58761981227093	20.41238018772907	2.402382361511224	0.0033414282002019765	0.005986535439443347	3.3766585717997977	79.58761981227093	20.41238018772907	0.7655623584939293
0.003981071705534973	2.7184526114740972	0.0027411199801231708	0.007534803409969025	3.3772588800198764	75.11288652409924	24.887113475900758	2.815886563447158	0.002634010004205218	0.007911189210470345	3.3773659899957944	74.10005691935581	25.89994308064418	2.7184526114740972	0.0027411199801231703	0.007534803409969026	3.3772588800198764	75.11288652409924	24.887113475900758	2.8543752420478024	0.0027411199801231703	0.007534803409969027	3.3772588800198764	75.11288652409924	24.88711347590076	0.7217505747425879
0.005011872336272725	3.196103760600888	0.0022855092975712673	0.009483890376750603	3.377714490702428	70.14771927082994	29.852280729170054	3.3028331520099137	0.0022036667214540098	0.009957713517762356	3.3777963332785457	69.0382892658932	30.961710734106795	3.196103760600888	0.0022855092975712673	0.009483890376750603	3.377714490702428	70.14771927082994	29.852280729170054	3.3559089486309324	0.0022855092975712673	0.009483890376750603	3.3777144907024277	70.14771927082994	29.85228072917005	0.6732532769633085
0.00630957344480193	3.714545194307256	0.0019362122784298864	0.011937540087768837	3.3780637877215693	64.75873130701387	35.24126869298612	3.8287671406463613	0.0018731427905966805	0.012534018866510921	3.3781268572094025	63.57148261335376	36.428517386646234	3.7145451943072567	0.0019362122784298864	0.011937540087768836	3.37806378772157	64.75873130701387	35.241268692986125	3.9002724540226197	0.0019362122784298864	0.011937540087768836	3.37806378772157	64.75873130701387	35.241268692986125	0.6207523578619268
0.007943282347242814	4.2639638108131654	0.001666342625508783	0.015026335519749991	3.378333657374491	59.04813636043732	40.95186363956268	4.383199324366957	0.0016174206158004645	0.01577721160401514	3.378382579384199	57.80888681757187	42.19111318242813	4.263963810813166	0.001666342625508783	0.01502633551974999	3.378333657374491	59.04813636043732	40.95186363956268	4.4771620013538245	0.001666342625508783	0.01502633551974999	3.378333657374491	59.04813636043732	40.95186363956268	0.5652716666904416
0.010000000000000002	4.8316569179962165	0.0014565899242050863	0.018914635043224857	3.378543410075795	53.148226097958364	46.85177390204163	4.9529362901867255	0.0014184484980846687	0.019859858872373903	3.378581551501915	51.88790399243234	48.11209600756766	4.831656917996215	0.0014565899242050863	0.018914635043224864	3.378543410075795	53.14822609795836	46.851773902041636	5.0732397638960265	0.0014565899242050863	0.018914635043224864	3.378543410075795	53.14822609795836	46.851773902041636	0.508117466507926
0.012589254117941675	5.403104846886973	0.0012928035532901387	0.023809296815104443	3.3787071964467104	47.2102260856373	52.78977391436269	5.523251290156807	0.001262948918228388	0.02499914725142068	3.378737051081771	45.9619227807024	54.0380772192976	5.403104846886969	0.0012928035532901382	0.023809296815104457	3.3787071964467104	47.21022608563729	52.789773914362705	5.673260089231319	0.0012928035532901382	0.023809296815104453	3.3787071964467104	47.210226085637295	52.789773914362705	0.450765623088069
0.015848931924611134	5.963416429469438	0.0011644453925144865	0.029970649918180402	3.3788355546074853	41.38927533804352	58.61072466195648	6.079373846484359	0.0011410043951855578	0.03146839933843804	3.3788589956048147	40.18483939150591	59.81516060849408	5.963416429469437	0.0011644453925144865	0.029970649918180405	3.3788355546074853	41.38927533804351	58.61072466195649	6.2615872509429105	0.0011644453925144865	0.029970649918180402	3.3788355546074853	41.38927533804352	58.61072466195649	0.3947140158291327
0.0199526231496888	6.498854746774698	0.0010635653142216416	0.037726286867334896	3.378936434685778	35.82857335509625	64.17142664490375	6.607990088259273	0.0010451150679591124	0.03961155094732931	3.3789548849320403	34.69546951798294	65.30453048201706	6.498854746774698	0.0010635653142216416	0.037726286867334896	3.378936434685778	35.82857335509625	64.17142664490373	6.823797484113433	0.0010635653142216416	0.037726286867334896	3.378936434685778	35.82857335509625	64.17142664490373	0.34133042932654933
0.025118864315095794	6.998122504701994	0.0009841029722408123	0.047488396743291625	3.379015897027758	30.646030244870317	69.35396975512968	7.098442162116169	0.0009695528258501115	0.049861343095803465	3.3790304471741495	29.605093304261807	70.39490669573819	6.998122504701993	0.0009841029722408123	0.04748839674329164	3.379015897027758	30.64603024487031	69.35396975512968	7.348028629937094	0.0009841029722408123	0.04748839674329164	3.379015897027758	30.64603024487031	69.35396975512968	0.2917277890488702
0.03162277660168379	7.4531695569180325	0.0009213999424471594	0.05977553790783917	3.379078600057552	25.92589074601785	74.07410925398214	7.5434179910655095	0.0009099078355756417	0.06276217101645867	3.3790900921644242	24.990305156099584	75.00969484390042	7.453169556918036	0.0009213999424471594	0.05977553790783915	3.3790786000575523	25.92589074601786	74.07410925398214	7.825828034763935	0.0009213999424471593	0.05977553790783916	3.379078600057552	25.925890746017853	74.07410925398214	0.24668922878661187
