mY	FbR_Y	FbR_U	FbR_Us	FbD_Y	FbD_U	FbD_Us	NfR_Y	NfR_U	NfR_Us	NfD_Y	NfD_U	NfD_Us	CoRa(mY)
0.001	0.09945580961831434	79.11341300286466	10.940139058014577	0.10399886677824666	78.78785401163289	10.895119376768696	0.09945580961831435	79.11341300286468	10.940139058014578	0.10442860009923008	79.11341300286468	10.940139058014578	0.9154833234595342
0.0012589254117941675	0.12262352509288703	77.48074007048417	10.714366104497172	0.12812662473345895	77.10278229208863	10.662100496217121	0.12262352509288703	77.48074007048417	10.714366104497172	0.12875470134753136	77.48074007048417	10.714366104497172	0.8997743987487393
0.001584893192461114	0.1506179679108281	75.59563988268403	10.453686437042093	0.15724343068366697	75.1628388966929	10.393836876879428	0.1506179679108281	75.59563988268403	10.453686437042093	0.15814886630636954	75.59563988268404	10.453686437042094	0.8823192563159789
0.001995262314968879	0.1842342306966172	73.44974439183903	10.156942886451493	0.1921598851275918	72.96143967755077	10.089418034795752	0.18423423069661718	73.44974439183902	10.15694288645149	0.193445942231448	73.44974439183902	10.15694288645149	0.8632850554205789
0.0025118864315095794	0.22433964272361281	71.04376801133135	9.824234244844797	0.23375834845132737	70.50140868664941	9.749234491879818	0.22433964272361276	71.04376801133135	9.824234244844796	0.2355566248597934	71.04376801133135	9.824234244844796	0.8429304939161655
0.0031622776601683794	0.27187202423795453	68.38872141782343	9.457083115396838	0.28299153436755453	67.79600583070871	9.37511988440018	0.2718720242379546	68.38872141782345	9.45708311539684	0.2854656254498523	68.38872141782345	9.45708311539684	0.8215903252477482
0.003981071705534973	0.32784014970216574	65.50615415887418	9.058469461150334	0.34088362995830146	64.86894134686214	8.97035296473894	0.32784014970216585	65.5061541588742	9.058469461150336	0.3442321571872742	65.5061541588742	9.058469461150336	0.7996492215844726
0.005011872336272725	0.393327793118632	62.427306750298044	8.6327133534343	0.4085352350107923	61.7533018576324	8.53950909170845	0.39332779311863203	62.42730675029805	8.632713353434301	0.41299418277456357	62.42730675029805	8.632713353434301	0.7775096157537291
0.00630957344480193	0.4695022519044825	59.191267949405265	8.185220151774352	0.48713289240621277	58.48952839984219	8.088180623793798	0.4695022519044825	59.191267949405265	8.185220151774352	0.4929773644997067	59.191267949405265	8.185220151774352	0.7555594686750908
0.007943282347242814	0.5576276382180434	55.84242306090654	7.722127644786052	0.5779633723734819	55.1227633464646	7.622610040228139	0.5576276382180434	55.84242306090654	7.722127644786052	0.5855090201289456	55.84242306090654	7.722127644786052	0.7341453563855445
0.010000000000000002	0.6590826876679193	52.42758675699161	7.249909564347111	0.6824323704525608	51.6999690878126	7.149291499979206	0.6590826876679193	52.42758675699161	7.249909564347111	0.6920368220513153	52.42758675699161	7.249909564347111	0.7135542735005921
0.012589254117941675	0.7753825073251277	48.993217622597435	6.774990401076214	0.8020870043858344	48.267204265410435	6.674594187790431	0.7753825073251277	48.993217622597435	6.774990401076214	0.8141516326913841	48.993217622597435	6.774990401076214	0.6940050601989234
0.015848931924611134	0.9082036080354833	45.58302959833583	6.303415104507388	0.9386414674158258	44.867348092310074	6.204447623520471	0.9082036080354834	45.583029598335834	6.303415104507389	0.9536137884372576	45.583029598335834	6.303415104507389	0.6756482916090254
0.0199526231496888	1.0594116918151912	42.2361890487598	5.840599766025683	1.0940053531272762	41.53843323028306	5.744111125314431	1.0594116918151908	42.23618904875979	5.840599766025681	1.1123822764059503	42.23618904875979	5.840599766025681	0.6585723039776945
0.025118864315095794	1.2310919040333212	38.98615802759579	5.391171660666256	1.2703144181811872	38.312623506314225	5.2980324438949244	1.2310919040333212	38.98615802759579	5.391171660666255	1.2926464992349873	38.98615802759579	5.391171660666255	0.6428127736388211
0.03162277660168379	1.425581527230664	35.86014346177902	4.958893077941273	1.4699638141124758	35.21577969999026	4.869787717796347	1.425581527230664	35.86014346177902	4.958893077941274	1.496860603592197	35.86014346177902	4.958893077941274	0.6283636261536947
0.039810717055349734	1.645505333153251	32.87904978103248	4.546654771256732	1.6956440493209495	32.26750266476908	4.462087436357312	1.645505333153251	32.87904978103248	4.546654771256732	1.7277805998109137	32.87904978103248	4.546654771256732	0.6151876884313272
0.05011872336272722	1.8938139985349844	30.05780661395923	4.156521273121123	1.9503801200142712	29.481523738138502	4.0768304272970015	1.8938139985349844	30.05780661395923	4.156521273121123	1.9885046984617338	30.05780661395923	4.156521273121123	0.6032261442412187
0.06309573444801933	2.1738261283184865	27.405944128015644	3.789810455602675	2.2375743775653953	26.866317619594433	3.7151886080873227	2.1738261283184874	27.405944128015648	3.7898104556026766	2.282517434734411	27.405944128015644	3.7898104556026753	0.5924063743214373
0.07943282347242814	2.4892745292506615	24.928305530437125	3.4471920579861837	2.5610537926975576	24.42583196106189	3.377707876817777	2.489274529250661	24.928305530437118	3.447192057986183	2.613738255713194	24.928305530437118	3.447192057986183	0.5826481164393583
0.1	2.844357452264168	22.62581006703839	3.1287931974905843	2.9251223491928893	22.16025229445865	3.0644138896306456	2.844357452264167	22.625810067038387	3.1287931974905834	2.9865753248773754	22.625810067038387	3.1287931974905834	0.5738680854288399
0.12589254117941673	3.243795587356405	20.496204342140878	2.8343022649823495	3.334619364409557	20.066745020085733	2.774914804314032	3.2437955873564053	20.49620434214088	2.83430226498235	3.4059853667242255	20.49620434214088	2.8343022649823495	0.5659832873012186
0.15848931924611134	3.6928956601424665	18.534761444513357	2.563065603082513	3.7949846004012184	18.140142001176503	2.508495948946303	3.6928956601424665	18.534761444513357	2.563065603082513	3.87754044314959	18.534761444513357	2.563065603082513	0.55891328469361
