mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
0.001	0.08599224012235718	0.013163161457227837	9.459146413459289	0.008334898573361449	0.09010462737807023	0.01380375751185067	9.43953239198831	0.008722399332666882	0.08599224012235718	0.013163161457227839	9.459146413459287	0.008334898573361447	0.09029185212847504	0.013163161457227837	9.459146413459289	0.008334898573361449	0.9574565138456762
0.0012589254117941675	0.10711115283180042	0.01646352266948425	9.358955424298342	0.010314265538465837	0.1121801003344004	0.017259587262453538	9.335105064457021	0.01078543782114655	0.10711115283180042	0.01646352266948425	9.358955424298342	0.01031426553846584	0.11246671047339042	0.016463522669484254	9.35895542429834	0.01031426553846584	0.9477014986439274
0.001584893192461114	0.13309500526959422	0.02056014463499851	9.23749981973285	0.012713606682400042	0.13931441419911622	0.021546547784484765	9.20872362990256	0.01328205576529428	0.13309500526959425	0.020560144634998508	9.237499819732852	0.012713606682400042	0.13974975553307395	0.020560144634998508	9.237499819732852	0.012713606682400042	0.936052452510675
0.001995262314968879	0.1649083371028674	0.025629360374652934	9.09149486021258	0.015597723901063888	0.1724985876449115	0.026847437917961542	9.057095137238216	0.01627720899326631	0.16490833710286734	0.025629360374653062	9.091494860212576	0.015597723901063747	0.17315375395801078	0.025629360374652934	9.09149486021258	0.015597723901063888	0.9223019191056702
0.0025118864315095794	0.20363869733926668	0.03187922854328667	8.917702817422901	0.019030445791529994	0.21284524883712988	0.03337741070256657	8.877023024603364	0.01983390150671587	0.20363869733926668	0.031879228543286675	8.917702817422901	0.019030445791529998	0.21382063220623002	0.03187922854328667	8.917702817422901	0.01903044579152999	0.9062900073425474
0.0031622776601683794	0.25048675176783125	0.03955225704771713	8.713195252119105	0.02306943089424067	0.2615769641975321	0.04138655434442824	8.665684660249255	0.024007686704954748	0.2504867517678312	0.03955225704771712	8.713195252119103	0.023069430894240663	0.2630110893562228	0.03955225704771712	8.713195252119105	0.023069430894240666	0.887935655114032
0.003981071705534973	0.3067481115725243	0.04892734927336349	8.475680612852315	0.02775967861976754	0.3200064384823228	0.05116164320368969	8.420969656203779	0.028839966416890957	0.30674811157252424	0.04892734927336349	8.475680612852313	0.027759678619767535	0.3220855171511505	0.048927349273363466	8.475680612852315	0.027759678619767525	0.8672688284547798
0.005011872336272725	0.37378847602471116	0.060320767052636094	8.203866659799301	0.03312635195354168	0.3895106761302014	0.0630268796500137	8.14184353044479	0.03435078938253657	0.37378847602471116	0.0603207670526361	8.203866659799301	0.03312635195354168	0.3924778998259468	0.060320767052636094	8.203866659799301	0.03312635195354168	0.8444572831087762
0.00630957344480193	0.4530161462299754	0.07408606634466183	7.897804268583422	0.039167970212831894	0.4715036883079618	0.07734362808569002	7.82867889906243	0.040532293991300455	0.4530161462299753	0.07408606634466189	7.897804268583421	0.03916797021283192	0.47566695354147415	0.07408606634466187	7.897804268583421	0.039167970212831915	0.8198200904330241
0.007943282347242814	0.5458582262094781	0.0906132009400036	7.559142714332012	0.045851355612365946	0.5674144203980964	0.09450939310121094	7.483482629936997	0.04734421199831307	0.5458582262094783	0.09061320094000352	7.559142714332014	0.045851355612365925	0.5731511375199523	0.09061320094000352	7.559142714332014	0.045851355612365925	0.7938209373129227
0.010000000000000002	0.653747881474534	0.11032725649918938	7.191226696219873	0.05310971386944405	0.6786772496553437	0.11495655687208267	7.109952139246457	0.054712755541753234	0.653747881474534	0.11032725649918938	7.191226696219872	0.05310971386944404	0.6864352755482607	0.11032725649918937	7.191226696219872	0.05310971386944404	0.7670379576079358
0.012589254117941675	0.7781290438895779	0.13368749164545127	6.798988568025514	0.06084476932694324	0.8067409449823433	0.13915158310099102	6.7133221121751	0.06253365314459483	0.7781290438895782	0.13368749164545113	6.798988568025516	0.06084476932694319	0.8170354960840571	0.13368749164545116	6.798988568025515	0.06084476932694321	0.7401129061299979
0.015848931924611134	0.9204818447016409	0.16118744442295663	6.388632584126946	0.0689330167524535	0.9530985094375516	0.16759544112611047	6.300009095209741	0.07067918623327725	0.920481844701641	0.16118744442295665	6.388632584126947	0.06893301675245352	0.9665059369367229	0.16118744442295665	6.388632584126947	0.06893301675245352	0.7136887003241342
0.0199526231496888	1.0823677440939798	0.19335677154339873	5.967157849728384	0.07723516448009614	1.1193359516135164	0.20082587744313318	5.877110266643823	0.07900811046024579	1.0823677440939798	0.19335677154339873	5.967157849728384	0.07723516448009614	1.136486131298679	0.19335677154339873	5.967157849728384	0.07723516448009614	0.6883480026141625
0.025118864315095794	1.2654893892492005	0.230765250631283	5.5418044013142005	0.08560709668101693	1.3071943808357496	0.2394219029569769	5.451845732854726	0.08737669225196042	1.2654893892492005	0.23076525063128306	5.541804401314199	0.08560709668101694	1.3287638587116604	0.23076525063128314	5.541804401314199	0.08560709668101699	0.6645648913748973
0.03162277660168379	1.4717581023308326	0.2740290743240979	5.119518544989861	0.09391045125861013	1.5186381798651976	0.2840105622933824	5.031039189593459	0.09564898267291688	1.4717581023308326	0.27402907432409784	5.119518544989861	0.09391045125861013	1.5453460074473746	0.27402907432409784	5.119518544989861	0.09391045125861013	0.6426771739106216
0.039810717055349734	1.7033621128889906	0.32381929757306877	4.706517397244678	0.10202123064917883	1.7559226835735986	0.3352758016691108	4.620710666679287	0.10370486922428881	1.7033621128889904	0.32381929757306877	4.706517397244679	0.10202123064917884	1.78853021853344	0.3238192975730688	4.706517397244678	0.10202123064917884	0.6228807276967485
