mY	FbR_Y	FbR_U	FbR_W	FbD_Y	FbD_U	FbD_W	NfR_Y	NfR_U	NfR_W	NfD_Y	NfD_U	NfD_W	CoRa(mY)
0.001	0.09924194537007262	4.548589162794995	6.368024827912993	0.10377599699346657	4.5299046306671915	6.341866482934067	0.09924194537007262	4.548589162794995	6.368024827912993	0.10420404263857626	4.548589162794995	6.368024827912993	0.9156341365407419
0.0012589254117941675	0.12236429657417915	4.454881552506282	6.236834173508795	0.12785681770033083	4.433186838551779	6.206461573972491	0.12236429657417915	4.454881552506282	6.236834173508795	0.1284825114028881	4.454881552506282	6.236834173508795	0.8999435432571857
0.001584893192461114	0.15030565058099876	4.346670815252094	6.085339141352931	0.1569188010222077	4.321824483777252	6.050554277288153	0.15030565058099876	4.346670815252094	6.085339141352931	0.15782093311004874	4.346670815252094	6.085339141352931	0.8825055203038403
0.001995262314968879	0.18386035110597457	4.223471117458193	5.9128595644414705	0.19177180399718963	4.195434044697194	5.873607662576072	0.1838603511059746	4.223471117458194	5.912859564441472	0.1930533686612733	4.223471117458194	5.912859564441472	0.8634862574158174
0.0025118864315095794	0.22389500229418602	4.08531776878533	5.7194448762994625	0.23329746560575576	4.05417195724485	5.67584074014279	0.22389500229418605	4.08531776878533	5.719444876299462	0.23508975240889532	4.0853177687853295	5.719444876299462	0.8431435766416857
0.0031622776601683794	0.2713467085206505	3.932837491527422	5.505972488138391	0.28244778227235295	3.898794219239526	5.458311906935337	0.2713467085206505	3.932837491527422	5.505972488138391	0.284914043946683	3.932837491527422	5.505972488138391	0.8218115730560654
0.003981071705534973	0.3272235075920571	3.7672629902941925	5.2741681864118695	0.3402461949265534	3.7306578589271835	5.222921002498057	0.3272235075920571	3.7672629902941925	5.2741681864118695	0.34358468297166	3.7672629902941925	5.2741681864118695	0.7998745668709559
0.005011872336272725	0.39260837404293375	3.590384844149911	5.026538781809876	0.40779248448208055	3.55165981855591	4.972323745978274	0.39260837404293375	3.590384844149911	5.026538781809876	0.4122387927450804	3.590384844149911	5.026538781809876	0.7777349773998009
0.00630957344480193	0.468667694862021	3.4044460959357736	4.7662245343100835	0.48627225360078274	3.3641212018097835	4.709769682533697	0.4686676948620211	3.4044460959357745	4.766224534310084	0.4921010796051222	3.4044460959357745	4.766224534310084	0.7557810616051225
0.007943282347242814	0.5566645127127573	3.2119958791163263	4.496794230762857	0.576971163517303	3.170635022169915	4.438889031037881	0.5566645127127574	3.2119958791163263	4.496794230762857	0.5844977383483952	3.2119958791163263	4.496794230762857	0.7343599255937857
0.010000000000000002	0.657976291168818	3.015724667857082	4.222014534999914	0.6812935898643256	2.9739005906776113	4.163460826948656	0.657976291168818	3.0157246678570817	4.222014534999914	0.6908751057272589	3.0157246678570817	4.222014534999914	0.7137592305218624
0.012589254117941675	0.774116625942354	2.818304009379406	3.9456256131311687	0.8007850842194743	2.7765667562529717	3.8871934587541603	0.774116625942354	2.818304009379406	3.9456256131311687	0.8128224572394717	2.818304009379406	3.9456256131311687	0.6941985245134837
0.015848931924611134	0.9067602467285462	2.622248921215222	3.6711484897013102	0.9371579980519011	2.5811007698020707	3.613541077722899	0.9067602467285462	2.622248921215222	3.6711484897013102	0.9520982590649735	2.622248921215222	3.6711484897013102	0.6758290563702803
0.0199526231496888	1.0577707784356043	2.429813880339573	3.4017394324754022	1.0923197819707142	2.389692074359016	3.345568904102623	1.0577707784356045	2.429813880339573	3.4017394324754022	1.1106593173573847	2.429813880339573	3.4017394324754022	0.6587397524258614
0.025118864315095794	1.2292309688023155	2.2429259551720278	3.140096337240839	1.268403723881582	2.2041931722119745	3.085870441096765	1.229230968802316	2.2429259551720286	3.14009633724084	1.2906925172424317	2.2429259551720286	3.14009633724084	0.6429667714661212
0.03162277660168379	1.423475356602318	2.0631528133258747	2.888413938656225	1.4678021546459477	2.0260943490088428	2.8365320886123793	1.4234753566023177	2.0631528133258747	2.8884139386562246	1.4946491244324338	2.0631528133258747	2.8884139386562246	0.6285044094750716
0.039810717055349734	1.643125594809847	1.8916997398149413	2.648379635740918	1.6932023802844816	1.8565259100475964	2.599136274066635	1.643125594809847	1.8916997398149413	2.648379635740918	1.7252818745503398	1.8916997398149413	2.648379635740918	0.6153157601356685
0.05011872336272722	1.8911288326051563	1.729428292372073	2.4211996093209023	1.9476257779369548	1.6962804564355194	2.3747926390097276	1.8911288326051563	1.729428292372073	2.4211996093209023	1.9856852742354143	1.729428292372073	2.4211996093209023	0.6033421853980455
0.06309573444801933	2.170799698721905	1.5768892629879505	2.2076449681831307	2.234470621935381	1.5458480179387735	2.164187225114283	2.170799698721905	1.5768892629879505	2.2076449681831307	2.279339683658	1.5768892629879505	2.2076449681831307	0.5925111728444339
0.07943282347242814	2.4858665282066594	1.43436358206529	2.008109014891406	2.5575592995849044	1.405457949944334	1.9676411299220675	2.485866528206659	1.43436358206529	2.008109014891406	2.610159854616992	1.43436358206529	2.008109014891406	0.5827425124093983
0.1	2.840522550304205	1.3019061688894273	1.8226686364451983	2.921190648669766	1.2751229021971202	1.7851720630759682	2.840522550304205	1.3019061688894273	1.8226686364451983	2.9825486778194157	1.3019061688894273	1.8226686364451983	0.5739529310220521
0.12589254117941673	3.2394828205284325	1.1793891405312436	1.651144796743741	3.330198213314638	1.1546815535200752	1.6165541749281052	3.2394828205284325	1.1793891405312436	1.651144796743741	3.4014569615548544	1.1793891405312436	1.651144796743741	0.5660594187285056
