mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
0.000125	0.001223581733904077	0.00040176550681912063	9.88624852622583	0.0002918837191122064	0.0012846670811360436	0.00042185357169147674	9.885512607518029	0.0003064549383805558	0.001223581733904077	0.00040176550681912063	9.88624852622583	0.0002918837191122064	0.001284760820599281	0.00040176550681912063	9.88624852622583	0.0002918837191122064	0.9985045092094423
0.00015736567647427094	0.0015398163005072114	0.0005057914993498441	9.882438758077232	0.0003673172778278142	0.0016166586666190488	0.0005310807407558454	9.881513027936066	0.0003856467709189317	0.0015398163005072114	0.0005057914993498443	9.882438758077232	0.0003673172778278142	0.0016168071155325718	0.0005057914993498443	9.882438758077232	0.0003673172778278142	0.9981180569780398
0.00019811164905763926	0.0019375925272921708	0.000636751700574631	9.877646745174681	0.00046219932118352785	0.002034237113354503	0.0006685887569615049	9.876482485868912	0.00048525170108606477	0.00193759252729217	0.0006367517005746309	9.877646745174683	0.00046219932118352785	0.0020344721536567794	0.000636751700574631	9.877646745174681	0.00046219932118352785	0.9976319907440392
0.00024940778937110987	0.0024378258494095768	0.0008016196146205517	9.87162060662688	0.0005815171007028612	0.0025593450969345843	0.0008416997575455697	9.870156735686574	0.0006105018027163552	0.0024378258494095768	0.0008016196146205517	9.87162060662688	0.0005815171007028612	0.0025597171418800554	0.0008016196146205517	9.87162060662688	0.0005815171007028612	0.9970207790325574
0.00031398580393869743	0.003066732357786624	0.001009174101683541	9.864044664723137	0.0007315210474344721	0.0032194802576189126	0.00105963147900425	9.862204677795603	0.0007679528607418568	0.003066732357786624	0.001009174101683541	9.864044664723137	0.0007315210474344721	0.003220068975675955	0.001009174101683541	9.864044664723137	0.0007315210474344721	0.9962524312732953
0.0003952847075210474	0.0038571348648514933	0.0012704666777839796	9.854523748053385	0.0009200355707916455	0.00404906041032782	0.0013339879074486993	9.852211953126165	0.0009658092009914636	0.0038571348648514933	0.0012704666777839796	9.854523748053385	0.0009200355707916456	0.0040499916080940675	0.0012704666777839796	9.854523748053385	0.0009200355707916456	0.9952869130136918
0.0004976339631918717	0.00485006907483286	0.0015994097209863314	9.842563901369095	0.001156841004062234	0.005091100373235406	0.0016793768723415072	9.839660807896657	0.0012143223686410048	0.00485006907483286	0.0015994097209863314	9.842563901369095	0.001156841004062234	0.005092572528574503	0.0015994097209863314	9.842563901369095	0.001156841004062234	0.9940742010016077
0.0006264840420340906	0.006096746054154511	0.0020135168376560052	9.827548837949605	0.0014541398484787065	0.006399257486502576	0.002114187394957184	9.823905555136262	0.0015262769910287287	0.006096746054154511	0.0020135168376560052	9.827548837949605	0.0014541398484787065	0.006401583356862236	0.0020135168376560052	9.827548837949605	0.0014541398484787065	0.9925519132339753
0.0007886966806002413	0.007660929902712256	0.00253483470420766	9.808711444819156	0.0018271209710380995	0.008040304706321456	0.002661568065022603	9.804142945462036	0.0019175774374308053	0.007660929902712256	0.0025348347042076606	9.808711444819156	0.0018271209710380995	0.008043976397847869	0.0025348347042076606	9.808711444819156	0.0018271209710380995	0.9906424478448879
0.0009929102934053517	0.009621786709454941	0.003191115831346063	9.785099696159875	0.0022946345202612675	0.01009708567208655	0.0033506583525892467	9.779376825777263	0.0024079475782193046	0.009621786709454941	0.003191115831346063	9.785099696159875	0.0022946345202612675	0.010102876044927685	0.0031911158313460636	9.785099696159874	0.0022946345202612675	0.9882495713288647
0.0012500000000000002	0.012077248128348086	0.004017294424572078	9.755536500756898	0.0028799869483539164	0.01267199052503937	0.00421813811813889	9.748376671224088	0.0030217518538261487	0.012077248128348086	0.004017294424572078	9.755536500756898	0.0028799869483539164	0.012681110534765491	0.004017294424572078	9.755536500756898	0.0028799869483539164	0.9852544169714132
0.0015736567647427094	0.015147903546136323	0.005057343492376488	9.718573388713462	0.0036118580160635905	0.01589095724014563	0.005310177349142058	9.709630013485954	0.0037889371962200923	0.015147903546136323	0.005057343492376488	9.718573388713462	0.0036118580160635905	0.015905298723443137	0.005057343492376488	9.718573388713462	0.0036118580160635905	0.9815108973896194
0.001981116490576392	0.018981379127260372	0.006366611398062697	9.672438651902267	0.004525327613775952	0.019907940387206204	0.006684889180166135	9.661289587358308	0.004746079528878843	0.018981379127260372	0.006366611398062697	9.672438651902267	0.004525327613775952	0.019930448083623393	0.006366611398062697	9.672438651902267	0.004525327613775952	0.9768406135828505
0.0024940778937111	0.02375706668742122	0.008014761174963638	9.614981757617771	0.005662976373378789	0.02490968343494947	0.00841541560546044	9.60111735329173	0.005937492122629943	0.02375706668742122	0.008014761174963638	9.614981757617771	0.005662976373378789	0.024944920021792282	0.008014761174963638	9.614981757617771	0.005662976373378789	0.97102747431235
0.0031398580393869743	0.029690913427007703	0.010089467379244798	9.543617766549943	0.007075986194561048	0.03112046437401676	0.010593808275685295	9.526429645230925	0.00741631167058944	0.029690913427007703	0.010089467379244798	9.543617766549943	0.007075986194561048	0.03117545909835809	0.010089467379244798	9.543617766549943	0.007075986194561048	0.9638124458963931
0.003952847075210474	0.03703975608508954	0.012701064578339003	9.455278340752974	0.008825110288953084	0.03880623863824427	0.013335907990636522	9.4340507763292	0.009245416896834158	0.03703975608508954	0.012701064578339003	9.455278340752974	0.008825110288953084	0.03889174388934402	0.012701064578339003	9.455278340752974	0.008825110288953084	0.9548891577226998
