mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbR_Y0	FbR_Y1	FbD_Y	FbD_U	FbD_W	FbD_C	FbD_Y0	FbD_Y1	NfR_Y	NfR_U	NfR_W	NfR_C	NfR_Y0	NfR_Y1	NfD_Y	NfD_U	NfD_W	NfD_C	NfD_Y0	NfD_Y1	CoRa(mY)
0.000125	0.019549425131392646	0.006561652975893323	9.665603421151728	0.004660665450632343	11.968148622032624	157.95935506165256	0.020504467399795574	0.006890176943910979	9.654112115065253	0.00488819376169564	11.954208303003648	157.78675865747448	0.019549425131392646	0.006561652975893324	9.665603421151728	0.004660665450632343	11.968148622032624	157.95935506165256	0.020526896387962276	0.006561652975893324	9.665603421151728	0.004660665450632343	11.968148622032624	157.95935506165256	0.9775925988536118
0.00015736567647427094	0.024472659821089142	0.008263372065901583	9.606374017844503	0.005833409958381762	11.896296321538223	157.06974337152417	0.025661166092581743	0.008677240294441543	9.592078650039717	0.00611645880140925	11.878954342625157	156.85502972129456	0.024472659821089142	0.008263372065901583	9.606374017844503	0.0058334099583817614	11.896296321538223	157.06974337152417	0.025696292812143598	0.008263372065901583	9.606374017844503	0.0058334099583817614	11.896296321538223	157.06974337152417	0.97196298008362
0.00019811164905763926	0.03059242958322308	0.010407313548802848	9.532778234548518	0.007290609353185603	11.807015895917951	155.96434649870406	0.03206720194828163	0.010928788419101457	9.515047576187893	0.007641677083909585	11.785506501574014	155.69803392045583	0.030592429583223075	0.01040731354880285	9.532778234548518	0.007290609353185603	11.807015895917951	155.96434649870406	0.03212205106238423	0.01040731354880285	9.532778234548518	0.007290609353185603	11.807015895917951	155.96434649870406	0.9649728245547153
0.00024940778937110987	0.03817551736679056	0.013108919485094206	9.441629744153529	0.009095353036756262	11.696441951968174	154.5953020861214	0.0399989646572605	0.013766124131992245	9.419719531839165	0.00952917609963623	11.669862262300498	154.26621065883967	0.03817551736679057	0.013108919485094206	9.441629744153529	0.00909535303675626	11.696441951968174	154.59530208612142	0.040084293235130096	0.013108919485094206	9.441629744153529	0.00909535303675626	11.696441951968174	154.59530208612142	0.9563232157381162
0.00031398580393869743	0.047535141068704344	0.016514073514846683	9.329197971179399	0.011321506549868833	11.560048858575824	152.90657054280376	0.04977975831722055	0.017342565933833556	9.302246547156352	0.011855145802236521	11.527353580394292	152.50175635695737	0.04753514106870433	0.01651407351484668	9.329197971179399	0.011321506549868831	11.560048858575824	152.90657054280373	0.04991189812213955	0.01651407351484668	9.329197971179399	0.011321506549868831	11.560048858575824	152.90657054280373	0.9456658572090368
0.0003952847075210474	0.05903199920340795	0.020807306263520963	9.191203355726294	0.014053805346332939	11.392645001327509	150.83386243133972	0.061780115042961756	0.021852094293646283	9.158236809108477	0.01470654426191804	11.352652665062369	150.3386944147964	0.05903199920340795	0.02080730626352096	9.191203355726296	0.014053805346332939	11.39264500132751	150.83386243133972	0.06198359916357835	0.02080730626352096	9.191203355726296	0.014053805346332939	11.39264500132751	150.83386243133975	0.932603817607516
0.0004976339631918717	0.07307108628203685	0.026222315628445122	9.022867287385415	0.017386866099602646	11.188433358273539	148.3053862953514	0.07641343997229448	0.027540446627882548	8.982819654891566	0.01817981079316839	11.139850823867246	147.7038490528701	0.07307108628203685	0.026222315628445122	9.022867287385415	0.017386866099602646	11.188433358273539	148.3053862953514	0.07672464059613869	0.026222315628445122	9.022867287385415	0.017386866099602646	11.188433358273539	148.3053862953514	0.9166979721652198
0.0006264840420340906	0.09009203083321707	0.03305551379873184	8.819045231209413	0.021422550803342367	10.941172997540537	145.2438450724301	0.09412465362963737	0.03471941916072062	8.770800438595902	0.02237779958867162	10.882646334386848	144.51916803023337	0.09009203083321707	0.03305551379873184	8.819045231209413	0.021422550803342367	10.941172997540535	145.24384507243008	0.0945966323748779	0.03305551379873184	8.819045231209413	0.021422550803342367	10.941172997540537	145.24384507243008	0.897481988031167
0.0007886966806002413	0.11055041684129482	0.04168356410106647	8.574475434883231	0.026265042360814575	10.644480788633624	141.57016728874498	0.11536928326170294	0.043785404094409064	8.516937838925651	0.02740428901605794	10.574680851387631	140.70588311474071	0.1105504168407728	0.041683564102149975	8.574475434878204	0.026265042359792466	10.644480788660887	141.57016728434087	0.11607793768281144	0.04168356410214997	8.574475434878206	0.026265042359792466	10.64448078866089	141.57016728434087	0.8744890536402024
0.0009929102934053517	0.13488777106903593	0.05258622730494631	8.28417321890718	0.032013037617101926	10.292309723430318	137.2094233424357	0.14058083840789476	0.055243575240510844	8.2163718128391	0.03335550811680293	10.210058565549849	136.19093163602253	0.13488777108009717	0.052586227298836614	8.28417321901869	0.0320130376159797	10.292309723557757	137.20942334443103	0.14163215963410203	0.052586227298836614	8.28417321901869	0.0320130376159797	10.292309723557757	137.20942334443103	0.8472932828282457
0.0012500000000000002	0.16348906883035785	0.06637635063364818	7.943986885015008	0.03874874036769338	9.8796232987468	132.09916760700787	0.17012573673155024	0.06973969132173653	7.86521324670787	0.0403084614950159	9.78406152004783	130.91580502270162	0.16348906882022288	0.06637635063894441	7.943986884916694	0.038748740369224446	9.879623298621187	132.09916760674005	0.17166352226123402	0.06637635063894441	7.943986884916694	0.038748740369224446	9.879623298621187	132.09916760674005	0.8155672639116142
0.0015736567647427094	0.19662916578197945	0.08383958415368296	7.551300403683641	0.04652394809408985	9.403247960120954	126.1999833059335	0.2042479329026849	0.08810230207817815	7.461271449322178	0.04830652492030192	9.294032146339703	124.84746589604562	0.19662916578197945	0.08383958415368296	7.551300403683641	0.04652394809408985	9.403247960120954	126.1999833059335	0.20646062407107843	0.08383958415368296	7.551300403683641	0.04652394809408985	9.403247960120954	126.1999833059335	0.7791542890584208
0.001981116490576392	0.23441366946695705	0.10598752442456061	7.105818347853312	0.05534451026599013	8.862825319454581	119.50726132855702	0.24300980098152836	0.11139935737422214	7.004842414533527	0.05734383770478612	8.740329520096921	117.99017668347813	0.234413669466957	0.10598752442456064	7.105818347853311	0.05534451026599014	8.86282531945458	119.507261328557	0.24613435294030483	0.10598752442456064	7.105818347853311	0.05534451026599014	8.86282531945458	119.507261328557	0.7381488370972891
0.0024940778937111	0.2767248951845749	0.13412966508667762	6.610306704664302	0.065155660227911	8.261710847644189	112.06231563944355	0.28624100734918934	0.14101505442288215	6.499418428255665	0.0673512524474521	8.127190198885746	110.39614631285534	0.2767248952094812	0.13412966507153473	6.6103067048663995	0.06515566022515068	8.261710847885583	112.06231564231602	0.2905611399699552	0.13412966507153473	6.6103067048663995	0.06515566022515068	8.261710847885583	112.06231564231602	0.6929733702680374
0.0031398580393869743	0.32318814624621844	0.1699720961724566	6.07110890007822	0.07583179790017654	7.607599873750716	103.96012291246345	0.3335112924769852	0.17875556469517134	5.952130657236556	0.07818757176627929	7.463265135015066	102.17216714090821	0.3231881462434089	0.16997209617347997	6.071108900056916	0.07583179790124517	7.607599873710596	103.9601229135739	0.3393475535555794	0.16997209617347997	6.071108900056916	0.07583179790124517	7.607599873710596	103.9601229135739	0.644434714709589
0.003952847075210474	0.37317514045550215	0.21575484800155964	5.498240733440902	0.08717461006039338	6.9126427518739915	95.35073952627606	0.3841436867521793	0.22699662213500466	5.37373317200547	0.08963986465830333	6.761600292906205	93.47936677773716	0.37317514045707434	0.21575484799956288	5.49824073345127	0.08717461006105114	6.912642751871685	95.35073952780637	0.39183389747992814	0.21575484799956288	5.4982407334512695	0.08717461006105114	6.912642751871685	95.35073952780637	0.5937428668855028
0.004976339631918717	0.4258576260967264	0.2744459306663055	4.904920855211772	0.09892236691307804	6.192875274906992	86.43224421397754	0.4372796149308369	0.2888927201666302	4.7780063973316595	0.1014352781580303	6.038912964693112	84.5242437129716	0.4258576260967264	0.2744459306663055	4.904920855211772	0.09892236691307804	6.192875274906992	86.43224421397754	0.4471505074015627	0.2744459306663055	4.904920855211772	0.09892236691307804	6.192875274906992	86.43224421397754	0.5424815157146653
0.0062648404203409025	0.4803146483111982	0.35001974906099675	4.306521626397654	0.1107706951056336	5.466945942454563	77.43498034191147	0.4919967850321916	0.36867825178103125	4.180599229468401	0.1132639635031648	5.31418712000986	75.54127776328271	0.4803146483111982	0.3500197490609967	4.306521626397654	0.1107706951056336	5.466945942454563	77.43498034191147	0.5043303807267582	0.3500197490609967	4.306521626397654	0.1107706951056336	5.466945942454563	77.43498034191147	0.4925331966661903
0.007886966806002416	0.5356844632753587	0.44786260723854204	3.719094497394995	0.1224017752917282	4.754327070156835	68.59941485950594	0.5474683705720079	0.47210742979094344	3.597498882385833	0.12480937323317284	4.606817148073565	66.76995677059497	0.5356844632753587	0.4478626072385421	3.7190944973949946	0.12240177529172822	4.754327070156835	68.59941485950594	0.5624686864391265	0.4478626072385421	3.7190944973949946	0.12240177529172822	4.754327070156835	68.59941485950594	0.4459790193499334
0.009929102934053517	0.5913425382993907	0.5753711739929539	3.1577655019707938	0.13351611140971378	4.073368333391717	60.152056802029456	0.6031438646997997	0.60710511346464	3.0434434212647528	0.13577969308783522	3.9346820722451956	58.43095387694254	0.5913425382993904	0.575371173992954	3.1577655019707933	0.13351611140971378	4.073368333391716	60.15205680202944	0.62090966521436	0.575371173992954	3.1577655019707933	0.13351611140971378	4.073368333391716	60.15205680202944	0.40500600192703134
0.0125	0.6470861854371303	0.7428442141891124	2.6353419191751235	0.14386011883225103	3.439606482682395	52.284563783320124	0.6589333750950014	0.7847378179652356	2.530611882359572	0.14593377765478516	3.3125565099818473	50.70649214016781	0.6470861854371303	0.7428442141891121	2.6353419191751244	0.143860118832251	3.439606482682395	52.284563783320124	0.6794404947089868	0.7428442141891121	2.6353419191751244	0.143860118832251	3.439606482682395	52.284563783320124	0.3718564238905284
0.01573656764742709	0.7033162318089801	0.9648151004346516	2.1613963899274724	0.1532442588938101	2.864654268343171	45.140046421953464	0.7153890102261911	1.020663711548133	2.0678294269283954	0.155096888431451	2.751146429879308	43.72847440204116	0.7033162318089802	0.9648151004346515	2.161396389927473	0.1532442588938101	2.8646542683431715	45.14004642195347	0.7384820433994292	0.9648151004346515	2.161396389927473	0.1532442588938101	2.8646542683431715	45.14004642195347	0.3488375727926693
0.019811164905763918	0.7612232756892736	1.2620255036583896	1.7419354628192831	0.16154960170168958	2.355798347176465	38.80819283845865	0.7738947434016641	1.3372715999021516	1.6603564598230807	0.16316486915626705	2.2568333279336987	37.575429933611765	0.7612232745499987	1.2620255059394436	1.7419354602801176	0.1615496017470512	2.3557983440930306	38.80819280202002	0.7992844382774987	1.2620255059394436	1.7419354602801176	0.1615496017470512	2.3557983440930306	38.80819280202002	0.33837068608228776
0.024940778937110997	0.8230020917138762	1.6642656099148607	1.379586257020353	0.16872413017858154	1.9162257267313547	33.328233842535326	0.8368904782623701	1.7667286894245637	1.310163359477682	0.17009870626652418	1.832007507137657	32.27681615835253	0.8230020917138765	1.66426560991486	1.3795862570203536	0.16872413017858154	1.9162257267313554	33.32823384253533	0.8641521962995703	1.6642656099148598	1.3795862570203536	0.16872413017858154	1.9162257267313554	33.32823384253534	0.3429885843400523
0.03139858039386975	0.8921200855112164	2.2142100637168713	1.0741099955087492	0.17477257213362404	1.5456467421316502	28.6968797653746	0.9081534129411059	2.3550150806455306	1.016482742265508	0.1759135940072895	1.4757380399415811	27.821547391316592	0.8921200855112164	2.214210063716872	1.0741099955087492	0.17477257213362404	1.54564674213165	28.6968797653746	0.9367260897867772	2.214210063716872	1.0741099955087492	0.17477257213362404	1.54564674213165	28.6968797653746	0.3650853217045818
0.03952847075210474	0.9736379743281398	2.9719898635410402	0.8230050327472318	0.17974446024162513	1.2410266002337338	24.877622011700524	0.9931237558608244	3.1665487941319346	0.7764033008048993	0.18066717636124388	1.1844931648095829	24.167149696080852	0.9736379743281398	2.9719898635410402	0.8230050327472318	0.17974446024162513	1.2410266002337338	24.877622011700524	1.0223198730445469	2.9719898635410402	0.8230050327472318	0.17974446024162513	1.2410266002337338	24.877622011700524	0.4061420970465092
0.04976339631918716	1.0745132132827193	4.019446672835383	0.6220059143858876	0.18372425066595283	0.9971907983314859	21.808365700254786	1.0991877142063862	4.2881520775809525	0.5853338324524101	0.18445035932607465	0.9527032076466395	21.246819444167784	1.074513213282719	4.019446672835383	0.6220059143858877	0.18372425066595283	0.9971907983314856	21.808365700254782	1.128238873946855	4.019446672835383	0.6220059143858877	0.18372425066595283	0.9971907983314856	21.808365700254782	0.46533418379981956
0.06264840420340903	1.2037459246559277	5.46228481070657	0.4654293075391482	0.1868244736205736	0.807244778663022	19.406454152527797	1.2357726426535458	5.830556009031077	0.43733023361590423	0.18738083638596228	0.7731572648537952	18.974076111189984	1.2037459246559277	5.46228481070657	0.4654293075391482	0.1868244736205736	0.807244778663022	19.406454152527797	1.2639332208887242	5.46228481070657	0.4654293075391482	0.1868244736205736	0.807244778663022	19.406454152527797	0.5381842407161445
0.07886966806002416	1.3722759478772155	7.429143062729417	0.346519945437145	0.18917888365239136	0.6629936003583371	17.57327932838726	1.414200939980678	7.926970072888618	0.3254732909495333	0.18959560823644325	0.6374615088935354	17.24777917693683	1.3722759478772157	7.429143062729416	0.34651994543714504	0.18917888365239136	0.6629936003583371	17.573279328387265	1.4408897452710765	7.429143062729416	0.34651994543714504	0.18917888365239136	0.6629936003583371	17.573279328387265	0.6168052127441264
0.09929102934053519	1.5927897979472627	10.069773816638927	0.2580188915490413	0.190931207989325	0.5556313113098593	16.202044702441032	1.6475253261541511	10.731669681357275	0.24249485271678953	0.19123858456687007	0.5367988085193807	15.960781826031495	1.5927897979472627	10.069773816638927	0.2580188915490413	0.190931207989325	0.5556313113098593	16.202044702441032	1.6724292878446256	10.069773816638927	0.2580188915490413	0.190931207989325	0.5556313113098593	16.202044702441032	0.69250209926745
0.125	1.8798226491242842	13.557083360685665	0.19294166360294013	0.19221973965420563	0.4766849050212201	15.188967004924217	1.9507375325177672	14.423367022988543	0.18156587796667303	0.19244498065582555	0.46288472601794384	15.011389774041485	1.8798226491242842	13.557083360685663	0.1929416636029402	0.19221973965420566	0.47668490502122013	15.188967004924217	1.9738137815804984	13.557083360685663	0.1929416636029402	0.19221973965420566	0.47668490502122013	15.188967004924216	0.7589662113744953
0.1573656764742709	2.250411926761381	18.09590064253656	0.14525798459867456	0.19316387836807175	0.4188389393152801	14.44353112414964	2.3415383352930648	19.21535724661424	0.13691250288819085	0.19332911923314894	0.4087148788630443	14.3127581907558	2.2504119267613807	18.095900642536563	0.14525798459867453	0.19316387836807175	0.41883893931528005	14.443531124149638	2.3629325230994493	18.095900642536563	0.14525798459867453	0.19316387836807175	0.41883893931528005	14.443531124149638	0.8135829069649204
0.1981116490576392	2.725228529807555	23.93729115836915	0.11020539342415758	0.1938579210476691	0.3763159832572112	13.893583886653813	2.8415430097616894	25.37066592057027	0.10404451262856697	0.19397990672897758	0.3688421031652779	13.796734140816351	2.7252285298075556	23.937291158369145	0.11020539342415761	0.1938579210476691	0.3763159832572113	13.893583886653815	2.861489956297934	23.937291158369145	0.11020539342415761	0.1938579210476691	0.3763159832572113	13.893583886653815	0.8566261231412494
0.24940778937110997	3.329988846643454	31.395989988035257	0.08424683650735769	0.19437190149240482	0.34482517079178526	13.485099016315944	3.4777367920899978	33.21996522863983	0.07965839584282634	0.1944627527974661	0.33925884732709466	13.412779085199876	3.3299888466434533	31.395989988035257	0.08424683650735768	0.19437190149240482	0.34482517079178526	13.48509901631594	3.4964882889756272	31.395989988035254	0.08424683650735769	0.19437190149240482	0.34482517079178526	13.485099016315944	0.8897854972821364
0.31398580393869757	4.097065810184238	40.87011536106238	0.06484543303964195	0.19475605004175578	0.3212889642096507	13.179055920292459	4.284132106791491	43.18184234490998	0.061395478678656024	0.19482435927336908	0.31710375984161526	13.124564940383044	4.097065810184238	40.87011536106238	0.06484543303964195	0.19475605004175578	0.3212889642096507	13.179055920292459	4.301919100693449	40.87011536106238	0.06484543303964195	0.19475605004175578	0.3212889642096507	13.179055920292459	0.9150805017649651
0.39528470752104755	5.06735651281411	52.86402598711797	0.05020775922057736	0.19504587655728714	0.3035317274478521	12.947705743637282	5.3037055880028925	55.78652070682111	0.04759016223086125	0.19509770508031427	0.30035627142472215	12.906291500207436	5.06735651281411	52.86402598711797	0.05020775922057736	0.19504587655728714	0.30353172744785206	12.947705743637284	5.3207243384548155	52.86402598711796	0.050207759220577367	0.19504587655728714	0.3035317274478521	12.947705743637284	0.9343370906235058
0.4976339631918716	6.292532731525977	68.01595733885488	0.03906709719673793	0.19526646210216222	0.29001678131052	12.771351091225213	6.590748576335377	71.70474524842183	0.037064848231513584	0.19530610671017784	0.28758781552189533	12.739629745989939	6.292532731525977	68.01595733885488	0.03906709719673793	0.19526646210216222	0.29001678131052	12.771351091225213	6.607159368102277	68.01595733885488	0.03906709719673793	0.19526646210216222	0.29001678131052	12.771351091225213	0.949029090842819
0.6264840420340904	7.837825199290282	87.13231942988733	0.03052240896800679	0.19543564726411122	0.27965105969321535	12.635921939177537	8.213785408080062	91.78375001927662	0.028980117295651982	0.19546618469969404	0.2777800767269134	12.611461373610105	7.837825199290282	87.13231942988733	0.03052240896800679	0.19543564726411122	0.27965105969321535	12.635921939177537	8.229716459254796	87.13231942988733	0.030522408968006794	0.19543564726411122	0.27965105969321535	12.635921939177537	0.9602856030021181
0.7886966806002419	9.785510333566547	111.23073669138074	0.02392563238882656	0.1955662636990254	0.27164838624734156	12.531262879641416	10.259233034906917	117.09244643088333	0.022730652332380964	0.19558992435099581	0.2701987335190307	12.512294463135309	9.785510333566547	111.23073669138074	0.02392563238882656	0.1955662636990254	0.27164838624734156	12.531262879641416	10.274785850244877	111.23073669138074	0.02392563238882656	0.1955662636990254	0.27164838624734156	12.531262879641416	0.9689520551910195
0.9929102934053522	12.239296023404336	141.5942505912449	0.018804757032809243	0.19566765723185378	0.2654361562681473	12.449955515358688	12.83600626788636	148.9783479961773	0.01787438372233773	0.19568607865987925	0.2643075029482883	12.435177311510289	12.239296023404336	141.5942505912449	0.01880475703280924	0.19566765723185378	0.2654361562681473	12.449955515358688	12.851260824574553	141.5942505912449	0.01880475703280924	0.19566765723185378	0.2654361562681473	12.449955515358688	0.9756566996789635
1.2500000000000002	15.329845235186445	179.83962891570698	0.014811648548003015	0.19574672093641474	0.2605920414411111	12.386514950030644	16.08131828806012	189.1393107564854	0.01408441910765627	0.19576112010784685	0.25970982576176127	12.37495731119293	15.329845235186445	179.83962891570698	0.014811648548003015	0.19574672093641474	0.2605920414411111	12.386514950030644	16.096337496945765	179.83962891570698	0.014811648548003015	0.19574672093641474	0.2605920414411111	12.386514950030644	0.9808666769770473
1.5736567647427098	19.221733872458554	228.0034423524555	0.011686505196161236	0.19580859889731186	0.25680087140281327	12.336839675681938	20.167987220873183	239.71392837746217	0.011116237942583372	0.19581989021129173	0.2561090694973702	12.327772726833551	19.221733872458554	228.0034423524555	0.011686505196161236	0.19580859889731186	0.25680087140281327	12.336839675681938	20.182820566081485	228.0034423524555	0.011686505196161236	0.19580859889731186	0.25680087140281327	12.336839675681938	0.984930993979074
1.981116490576392	24.122214345073232	288.65050004296126	0.009233396015317802	0.19585717055527405	0.25382495862697013	12.297831351368737	25.31363862882274	303.39540174797645	0.008785054625699607	0.19586604773236704	0.25328106727483496	12.290700548919592	24.122214345073232	288.65050004296126	0.009233396015317802	0.19585717055527405	0.25382495862697013	12.297831351368737	25.328325062326893	288.65050004296126	0.009233396015317802	0.19585717055527405	0.25382495862697013	12.297831351368737	0.9881121440437537
2.4940778937111	30.292251870124787	365.010420405458	0.007303200943295709	0.1958953884933792	0.25148340276816206	12.26712865142375	31.792294247492503	383.5749480961792	0.006949983648152049	0.19590238220967196	0.2510549082398812	12.261509275893832	30.292251870124787	365.010420405458	0.007303200943295709	0.1958953884933792	0.25148340276816206	12.26712865142375	31.80686446363103	365.010420405458	0.007303200943295709	0.1958953884933792	0.25148340276816206	12.26712865142375	0.990608989043361
3.1398580393869753	38.06042131629498	461.14960971094195	0.005781538974449533	0.19592551746002362	0.2496374460822687	12.242918325365798	39.94896416825776	484.522386070019	0.005502799502182022	0.19593103651250338	0.24929930199837305	12.238482881892436	38.06042131629498	461.14960971094195	0.005781538974449533	0.19592551746002362	0.2496374460822687	12.242918325365798	39.963442382109726	461.14960971094195	0.005781538974449533	0.19592551746002362	0.2496374460822687	12.242918325365798	0.9925732552389589
3.9528470752104745	47.840404648325304	582.1878059452429	0.00458009963262915	0.19594930600609772	0.24817995747367189	12.223799144123419	50.218019544673716	611.6135126213438	0.004359840728545313	0.1959536671410345	0.24791275726433143	12.220293680568451	47.840404648325304	582.1878059452429	0.00458009963262915	0.19594930600609772	0.24817995747367189	12.223799144123419	50.23242488074157	582.1878059452429	0.00458009963262915	0.19594930600609772	0.24817995747367189	12.223799144123419	0.9941214630649993
4.976339631918718	60.15302074704917	734.570718783502	0.0036303299231487205	0.195968111483584	0.24702777401823356	12.208682575609222	63.146324207112485	771.6163794522904	0.003456096937847919	0.1959715613035243	0.24681640871456959	12.205909251451905	60.15302074704917	734.570718783502	0.0036303299231487205	0.195968111483584	0.24702777401823356	12.208682575609222	63.16067178440162	734.570718783502	0.0036303299231487205	0.195968111483584	0.24702777401823356	12.208682575609222	0.9953436149653684
6.264840420340905	75.65396074337819	926.4132840160784	0.002878776249113843	0.19598299227579685	0.24611605015459243	12.196719345431317	79.42235699936036	973.0517135988802	0.0027408345193675903	0.19598572352745422	0.2459487104539874	12.194523447291186	75.65396074337819	926.4132840160784	0.002878776249113843	0.19598299227579685	0.24611605015459243	12.196719345431317	79.4366587805471	926.4132840160784	0.002878776249113843	0.19598299227579685	0.24611605015459243	12.196719345431317	0.9963095784380416
7.886966806002418	95.16870584906384	1167.931811441658	0.002283606709404481	0.1959947766560185	0.24539403881859276	12.187244510069643	99.91287568427953	1226.6466753662974	0.0021743232338372917	0.1959969404731195	0.24526146498385742	12.185504676292599	95.16870584906384	1167.931811441658	0.002283606709404481	0.1959947766560185	0.24539403881859276	12.187244510069643	99.92714114151704	1167.931811441658	0.002283606709404481	0.1959947766560185	0.24539403881859276	12.187244510069643	0.9970738205526176
9.92910293405352	119.73648716748902	1471.9880393079534	0.0018119875447859157	0.19600411473396917	0.2448219087608355	12.179735958260745	125.70907488790098	1545.9061175387744	0.0017253617819298873	0.19600582992747012	0.24471682142252477	12.17835675110169	119.73648716748902	1471.9880393079536	0.0018119875447859155	0.19600411473396917	0.2448219087608355	12.179735958260745	125.72331152586348	1471.9880393079534	0.0018119875447859157	0.19600411473396917	0.2448219087608355	12.179735958260745	0.9976789529701473
12.500000000000004	150.66562849161392	1854.77406793277	0.0014380860628967263	0.19601151799797048	0.2443683218575089	12.173782782122402	158.18469614867834	1947.8317672706592	0.0013693909766061096	0.19601287816337243	0.24428498655937936	12.17268899886972	150.66562849161392	1854.7740679327699	0.0014380860628967266	0.19601151799797048	0.2443683218575089	12.173782782122402	158.19890991619462	1854.77406793277	0.0014380860628967263	0.19601151799797048	0.2443683218575089	12.173782782122402	0.998158409980899
15.736567647427096	189.60321928593385	2336.6746475527752	0.001141538742290799	0.1960173896465455	0.2440085747386588	12.169060990253678	199.06918463570338	2453.827629565375	0.001087044293208522	0.19601846863877395	0.24394246649997833	12.168193276943015	189.60321928593385	2336.6746475527752	0.0011415387422907992	0.1960173896465455	0.2440085747386588	12.169060990253678	199.08338025023053	2336.6746475527752	0.0011415387422907992	0.1960173896465455	0.2440085747386588	12.169060990253678	0.998538487963245
19.81116490576393	238.62282818683246	2943.3527402640043	0.0009062685531261861	0.19602204800551545	0.24372316405772482	12.165314741213463	250.5397883924273	3090.8398282802846	0.0008630274709428359	0.19602290418063809	0.24367070748958036	12.16462619172743	238.62282818683246	2943.3527402640043	0.0009062685531261861	0.19602204800551545	0.24372316405772482	12.165314741213463	250.55396959617408	2943.3527402640043	0.0009062685531261861	0.19602204800551545	0.24372316405772482	12.165314741213463	0.9988399096339352
